id,title,image_id,artist_display,date_display
93367,Feast in the House of Simon,b995ae08-de60-1d85-c7b2-fb77455fa5bc,"Probably Giovanni Battista Lanzeni (Italian, c.1660-1737)
or possibly Giovan Gioseffo dal Sole (Italian, 1654-1719)
or Unknown Artist, (Italian, 16th-17th century)",n.d.
75656,View of Boston from the Hospital at Chelsea (valentine),7cbae9a2-57f8-eaea-78f9-4d261af360ed,"Unknown Artist
English, 19th century",c. 1840
204588,"Landscape in the Style of Ancient Masters: After Gao Shangshu, Following Dong Yuan and Ju Ran, and Later in the Style of Mi Fu",debf5973-c53b-0292-9392-c494b034c90d,"Lan Ying (Chinese, 1585-1664)","Ming dynasty (1368–1644), dated 1642"
40614,Untitled,85d355c4-8b7d-a77b-537e-83dc59c5d6d7,"Moshe Tamir
Israeli, born 1924",n.d.
237995,"Things Fall Apart, from Human_3.0 Reading List",dc95d760-9741-a76c-f5ad-2931d8eb82e1,"Cauleen Smith
American, born 1967",2016
115493,Jasper Covered Dish,41ae0193-666d-b0da-ee26-5f9771035018,"Giuseppe Grisoni
Italian, born Flanders, 1699-1769",n.d.
14586,The Poet's Garden,d4bc1723-7cbc-d36d-a9cb-f84553f2a6f6,"Vincent van Gogh (Dutch, 1853–1890)",1888
112278,"People at a Table (recto), and Study for Cottage Toilet (verso)",ef569bdd-5deb-a115-d35c-dc02d7a1fc70,"Sir David Wilkie
Scottish, 1785–1841",c. 1825
93334,"Art Institute of Chicago Competition, Elevation",496f564e-6a16-f2bc-01d2-f357a2754fc9,"Paul Philippe Cret
American, 1876–1945",1934
83722,The Holy Family,9d85ee6b-8cc3-de2d-bc6f-48df3392905f,"Willem Doudijns
Dutch, 1630-1697",n.d.
117534,First Family Before a Shelter,6cce0f68-26b2-52a3-ade9-8c708218dcf0,"Baccio Bandinelli
Italian, 1493-1560",1547/48
95819,Walrus Hunt,b1180a1d-5b11-fe09-b9f1-80f8bfcebd28,"Elizabeth Fitzgerald
English, 19th Century",1801
90440,Nice,ac7d2c43-e79b-b927-2c11-805ba933d717,"Léopold Survage
French, born Russia, 1879-1968",1916
84109,Overdoor with Satyr and Satyress,05746399-bc3b-d652-92f0-518c02ef3475,"After Paolo Caliari, called Veronese
Italian, 1528-1588",17th century
85705,Siege of Fortress,bb25728f-dd71-6cec-e486-5559f71364fd,"Attributed to Jan Luyken 
Dutch, 1649-1712)",n.d.
3993,"Dying Man Being Consoled by Christ on the Cross, Virgin and Saints",a1a5306d-53f0-1461-f8ba-e7a6b7c3df9d,"Gottfried Bernhard Goetz
German, 1708-1774",n.d.
84934,Magician Healing Sick Man,d91e7321-790e-28c0-f431-8870d54abdf3,"Attributed to Felice Giani
Italian, 1758-1823",n.d.
14683,"Harbor at Port-au-Basques, Newfoundland",3cf67642-f779-222d-9792-3ef66793c4a9,"Edwin Swift Clymer
American, 1871-1949",n.d.
178722,"Illinois Center Air Rights Development, Chicago, Illinois, Design Drawings",c60e9274-d519-53bc-92fe-e3ddaf7a3db0,"Holabird and Root
American, 1928–1945",c. 1928/30
85945,Skiddaw from Derwentwater,3a41f728-ca61-062f-5579-9c615117298e,"Unknown Artist 
British, n.d.",n.d.
34583,Untitled,a51d4fe5-5c61-0eaa-d7ae-38f8630bb028,"George Cohen
American, 1919-1999",1962
25380,The Bath of Diana,d4ea3d38-9b15-c4c5-e088-82b8f3f21738,"Pierre Charles Trémolières
French, 1703-1739",c. 1738
186346,Flowers in a Vase,e58c0325-6dad-7a9f-1c15-3287c3b8025a,"Pablo Picasso
Spanish, 1881–1973",1935
879,Landscape (The Lock),ff3b5c8a-5b14-5c35-8775-3d021e92a381,"Attributed to John Constable (English, 1776–1837)",c. 1820–25
155881,Self-Portrait,550bd750-7f26-5e5b-52dd-b31675431512,"James McClear
American, 20th century",1986
3846,Vision of a Pope,296c2255-9bdb-ad8c-45fe-16d073548a8e,"possibly Francesco Campora (Italian, c. 1693-1763)",n.d.
83264,Ancient Bas-Relief of Sleeping Hunter and Dog,180a3e08-184b-56c3-6951-042da8402f7b,"John Downman
English, 1750-1824",1775
180676,Young Girl with Long Hair (recto); Girl Reading (verso),b80cc076-7fae-1392-a41c-0f2b291c75a2,"Henri Matisse
French, 1869-1954",c. 1919
84424,Crowning of Thorns,70c5e447-7ea3-3b7d-da6b-8821cb15500a,"Christoph Schwarz (German, 1545-1592)
or possibly Jan van der Straet (Flemish, 1523-1605)
or possibly Jan Swart (Netherlandish, c. 1500-after 1533)",n.d.
71845,"Lincoln State Bank Proposal, Chicago, Illinois, Longitudinal Section",c95186cc-e911-71e0-4ef8-292bce0ca0de,"Parker Noble Berry
American, 1888–1918","November 19, 1912"
198871,Related to Pen VIII,c6902fa6-d11c-3f78-3c22-11b6b149fc22,"Julio Gonzalez
Spanish, 1876-1942","April, 30, 1939"
98200,Circles of Confusion I,c43adaf7-fef5-19d4-789f-0b13ed083e8c,"James Rosenquist (American, born 1933)
published by Universal Limited Art Editions (American, founded 1955)",1965–66
271418,Mount Fuji and the Miho Pine Forest,13906a21-75c6-c0c9-f5ba-11f1e5f64d03,"Soga Shōhaku 曾我 蕭白
Japanese, 1730-1781",c. 1761-1762
111421,"Sketches of Heads, Eyes, Ear, and Mouth",dc754f55-5e66-614e-ddea-dc747aa677a7,"Jacopo Negretti, called Palma il Giovane
Italian, c. 1548-1628",1600/11
115500,Stone Basin,b6a22bee-0707-bc39-3b5a-016686394673,"Giuseppe Grisoni
Italian, born Flanders, 1699-1769",n.d.
46912,Woman in Loose Gown on Chair,b3fcd5f2-c27f-0e4f-da97-911c92ea8560,"Henry Stacy Marks
English, 1829-1898",n.d.
131235,"Study for a plate from The Triumphs of Temper, in the 1796 Royal Engagements Pocket Book",6bc6fbee-985b-6e07-242d-15ebfc6071e5,"Thomas Stothard
English, 1755-1834",c. 1795
93795,The Old Woodstock Inn,db0d7266-daab-ffe1-c775-5b501e9459b3,"Ivan Albright
American, 1897-1983",1968
85596,Standing Man,4cc106ed-618e-5b0a-34bd-cece72743508,"Possibly Romeyn de Hooghe
Dutch, 1645-1708",n.d.
133456,Tarragona Terrace and Garden,931edccd-9a37-bfa7-d9a5-13d644956b40,"John Singer Sargent
American, 1856-1925",c. 1908
85745,Cincinnatus Called from the Plough,c076f92c-172b-f84f-d7e3-0f8e64b78b63,"Follower of Guercino
Italian, 1591-1666",n.d.
